============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.17-s066_1
  Generated on:           May 23 2023  12:39:44 am
  Module:                 model_baseline
  Technology libraries:   scadv10_cln65gp_lvt_ff_1p1v_m40c 1.0
                          physical_cells 
  Operating conditions:   scadv10_cln65gp_lvt_ff_1p1v_m40c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                      Instance                                            Module                        Cell Count   Cell Area   Net Area    Total Area 
    N1[12].N2[411].TR                               tmr_TRIPLICATE1h0_3750                                       2      13.200       1.067       14.267 
    N1[12].N2[410].TR                               tmr_TRIPLICATE1h1_6308                                       2      13.200       1.067       14.267 
    N1[12].N2[409].TR                               tmr_TRIPLICATE1h1_6307                                       2      13.200       1.067       14.267 
    N1[12].N2[408].TR                               tmr_TRIPLICATE1h0_3749                                       2      13.200       1.067       14.267 
    N1[12].N2[407].TR                               tmr_TRIPLICATE1h1_6306                                       2      13.200       1.067       14.267 
    N1[12].N2[406].TR                               tmr_TRIPLICATE1h1_6305                                       2      13.200       1.067       14.267 
    N1[12].N2[405].TR                               tmr_TRIPLICATE1h0_3748                                       2      13.200       1.067       14.267 
    N1[12].N2[404].TR                               tmr_TRIPLICATE1h0_3747                                       2      13.200       1.067       14.267 
    N1[12].N2[403].TR                               tmr_TRIPLICATE1h0_3746                                       2      13.200       1.067       14.267 
    N1[12].N2[402].TR                               tmr_TRIPLICATE1h0_3745                                       2      13.200       1.067       14.267 
    N1[12].N2[401].TR                               tmr_TRIPLICATE1h1_6304                                       2      13.200       1.067       14.267 
    N1[12].N2[400].TR                               tmr_TRIPLICATE1h1_6303                                       2      13.200       1.067       14.267 
    N1[12].N2[399].TR                               tmr_TRIPLICATE1h1_6302                                       2      14.000       1.067       15.067 
    N1[12].N2[398].TR                               tmr_TRIPLICATE1h1_6301                                       2      13.200       1.067       14.267 
    N1[12].N2[397].TR                               tmr_TRIPLICATE1h0_3744                                       2      13.200       1.067       14.267 
    N1[12].N2[396].TR                               tmr_TRIPLICATE1h1_6300                                       2      13.200       1.067       14.267 
    N1[12].N2[395].TR                               tmr_TRIPLICATE1h1_6299                                       2      13.200       1.067       14.267 
    N1[12].N2[394].TR                               tmr_TRIPLICATE1h0_3743                                       2      13.200       1.067       14.267 
    N1[12].N2[393].TR                               tmr_TRIPLICATE1h0_3742                                       2      13.200       1.067       14.267 
    N1[12].N2[392].TR                               tmr_TRIPLICATE1h0_3741                                       2      13.200       1.067       14.267 
    N1[12].N2[391].TR                               tmr_TRIPLICATE1h0_3740                                       2      13.200       1.067       14.267 
    N1[12].N2[390].TR                               tmr_TRIPLICATE1h1_6298                                       2      14.000       1.067       15.067 
    N1[12].N2[389].TR                               tmr_TRIPLICATE1h1_6297                                       2      13.200       1.067       14.267 
    N1[12].N2[388].TR                               tmr_TRIPLICATE1h1_6296                                       2      13.200       1.067       14.267 
    N1[12].N2[387].TR                               tmr_TRIPLICATE1h0_3739                                       2      13.200       1.067       14.267 
    N1[12].N2[386].TR                               tmr_TRIPLICATE1h0_3738                                       2      13.200       1.067       14.267 
    N1[12].N2[385].TR                               tmr_TRIPLICATE1h1_6295                                       2      13.200       1.067       14.267 
    N1[12].N2[384].TR                               tmr_TRIPLICATE1h1_6294                                       2      13.200       1.067       14.267 
    N1[12].N2[383].TR                               tmr_TRIPLICATE1h1_6293                                       2      13.200       1.067       14.267 
    N1[12].N2[382].TR                               tmr_TRIPLICATE1h0_3737                                       2      13.200       1.067       14.267 
    N1[12].N2[381].TR                               tmr_TRIPLICATE1h1_6292                                       2      13.200       1.067       14.267 
    N1[12].N2[380].TR                               tmr_TRIPLICATE1h0_3736                                       2      13.200       1.067       14.267 
    N1[12].N2[379].TR                               tmr_TRIPLICATE1h0_3735                                       2      13.200       1.067       14.267 
    N1[12].N2[378].TR                               tmr_TRIPLICATE1h0_3734                                       2      13.200       1.067       14.267 
