============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.17-s066_1
  Generated on:           May 23 2023  12:39:50 am
  Module:                 model_baseline
  Technology libraries:   scadv10_cln65gp_lvt_ff_1p1v_m40c 1.0
                          physical_cells 
  Operating conditions:   scadv10_cln65gp_lvt_ff_1p1v_m40c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                          
       Gate        Instances     Area                   Library               
NAND3BX1MA10TL           163      456.400    scadv10_cln65gp_lvt_ff_1p1v_m40c 
NAND3XXBX1MA10TL        2729     7641.200    scadv10_cln65gp_lvt_ff_1p1v_m40c 
NOR2BX1MA10TL           7352    17644.800    scadv10_cln65gp_lvt_ff_1p1v_m40c 
NOR2BX2MA10TL           1353     4329.600    scadv10_cln65gp_lvt_ff_1p1v_m40c 
NOR2X1AA10TL            1165     1864.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
NOR2X1MA10TL           17964    28742.400    scadv10_cln65gp_lvt_ff_1p1v_m40c 
NOR2XBX1MA10TL          2246     5390.400    scadv10_cln65gp_lvt_ff_1p1v_m40c 
NOR3X1MA10TL              16       38.400    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OA21X1MA10TL             352     1126.400    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OA22X1MA10TL              35      140.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OAI21BX0P7MA10TL          14       44.800    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OAI21BX1MA10TL          2612     8358.400    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OAI21X1MA10TL           4624    11097.600    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OAI21X2MA10TL            327     1308.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OAI21X3MA10TL              5       26.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OAI22X1MA10TL          89350   250180.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OAI2XB1X1MA10TL         1955     6256.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OR2X1MA10TL              474     1137.600    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OR2X2MA10TL              864     3456.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
OR6X1MA10TL              160      832.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XNOR2X0P7MA10TL            3       12.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XNOR2X1MA10TL          84295   337180.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XNOR2X1P4MA10TL           17      108.800    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XNOR2X2MA10TL             35      252.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XNOR2X3MA10TL             38      304.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XNOR3X1MA10TL             38      288.800    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XOR2X0P5MA10TL            49      196.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XOR2X0P7MA10TL            42      168.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XOR2X1MA10TL           30341   121364.000    scadv10_cln65gp_lvt_ff_1p1v_m40c 
XOR3X1MA10TL              59      448.400    scadv10_cln65gp_lvt_ff_1p1v_m40c 
------------------------------------------------------------------------------
total                 546035  2460714.800                                     


                                            
     Type      Instances     Area    Area % 
--------------------------------------------
sequential         12864  121148.800    4.9 
inverter           53271   67687.200    2.8 
buffer              9256   25244.400    1.0 
logic             470644 2246634.400   91.3 
physical_cells         0       0.000    0.0 
--------------------------------------------
total             546035 2460714.800  100.0 

